name,year,miles,color,condition,price
Mercedes-Benz C-Class,2023,"9,779 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$40,777"
Ford F-150,2021,"44,974 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$35,998"
Jeep Wrangler,2022,"18,815 miles","White exterior, Black interior","No accidents reported, 1 Owner","$45,271"
Subaru Outback,2023,"4,980 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$35,900"
Chevrolet Silverado 1500,2018,"50,079 miles","White exterior, Black interior","No accidents reported, 4 Owners","$24,777"
Volkswagen Tiguan,2020,"43,990 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$19,998"
Volkswagen Golf,2015,"80,002 miles","White exterior, Gray interior","1 accident reported, 3 Owners","$12,995"
Ford Escape,2017,"82,219 miles","White exterior, Black interior","No accidents reported, 1 Owner","$11,245"
Kia Optima,2018,"137,615 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$8,499"
Volkswagen Tiguan,2017,"57,467 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$17,998"
Subaru Outback,2022,"25,164 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$29,474"
Toyota Corolla,2017,"104,323 miles","White exterior, Black interior","No accidents reported, 2 Owners","$12,494"
BMW 4 Series,2016,"79,607 miles","Black exterior, Black interior","No accidents reported, 0 Owners","$15,777"
BMW 3 Series,2011,"112,325 miles","Black exterior, Black interior","1 accident reported, 3 Owners","$8,495"
Toyota Sienna,2022,"59,790 miles","Red exterior, Gray interior","No accidents reported, 1 Owner","$33,994"
Ram 1500,2021,"85,851 miles","Silver exterior, Gray interior","No accidents reported, 2 Owners","$31,990"
Toyota RAV4,2021,"62,673 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$23,993"
Honda Civic,2020,"18,650 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$20,683"
Volkswagen Tiguan,2019,"50,950 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$20,998"
Toyota RAV4,2013,"61,283 miles","Blue exterior, Gray interior","2 accidents reported, 3 Owners","$19,998"
Toyota Venza,2021,"14,150 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$32,000"
Honda Odyssey,2021,"30,252 miles","Gray exterior, Unknown interior","No accidents reported, 1 Owner","$35,498"
Jeep Compass,2020,"28,857 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$22,998"
Ram 1500,2020,"42,603 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$30,998"
Ford F-150,2019,"104,679 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$20,998"
Mercedes-Benz C-Class,2020,"25,772 miles","White exterior, Black interior","No accidents reported, 1 Owner","$27,933"
Honda Civic,2018,"40,171 miles","Gray exterior, Gray interior","1 accident reported, 1 Owner","$17,495"
BMW X3,2021,"24,706 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$28,999"
Honda Civic,2019,"45,246 miles","White exterior, Black interior","No accidents reported, 2 Owners","$21,998"
Ford Explorer,2022,"28,520 miles","White exterior, Black interior","No accidents reported, 1 Owner","$26,800"
Subaru Forester,2014,"103,854 miles","White exterior, Gray interior","1 accident reported, 2 Owners","$12,495"
Jaguar XF,2018,"38,894 miles","Gray exterior, Beige interior","No accidents reported, 3 Owners","$22,444"
Chevrolet Trailblazer,2023,"8,957 miles","Gray exterior, Black interior","No accidents reported, 0 Owners","$25,777"
Jeep Wrangler,2020,"21,005 miles","White exterior, Black interior","No accidents reported, 2 Owners","$33,496"
Toyota Tundra,2017,"78,171 miles","Black exterior, Gray interior","2 accidents reported, 2 Owners","$32,998"
INFINITI QX60,2018,"63,000 miles","Gray exterior, Brown interior","No accidents reported, 2 Owners","$19,988"
Honda HR-V,2018,"38,144 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$18,080"
Toyota Corolla,2021,"45,301 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$19,291"
Kia Forte,2022,"29,105 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$16,999"
BMW 3 Series,2018,"44,001 miles","Black exterior, Black interior","No accidents reported, 3 Owners","$20,999"
Honda Accord,2021,"52,184 miles","Gray exterior, Unknown interior","No accidents reported, 1 Owner","$28,485"
Honda Accord,2023,"3,538 miles","White exterior, Black interior","No accidents reported, 1 Owner","$25,739"
Land Rover Range Rover Sport,2020,"58,917 miles","White exterior, Unknown interior","No accidents reported, 1 Owner","$38,775"
Ford Explorer,2016,"54,407 miles","Gray exterior, Gray interior","1 accident reported, 2 Owners","$23,896"
Honda Accord,2021,"20,810 miles","Silver exterior, Black interior","No accidents reported, 2 Owners","$27,998"
Nissan Sentra,2022,"8,554 miles","White exterior, Black interior","No accidents reported, 1 Owner","$21,988"
Toyota RAV4,2022,"30,244 miles","White exterior, Black interior","No accidents reported, 1 Owner","$24,499"
Audi Q5,2020,"24,359 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$30,855"
Kia Forte,2022,"38,804 miles","White exterior, Black interior","No accidents reported, 1 Owner","$15,199"
BMW M6,2014,"43,936 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$36,998"
Volkswagen Tiguan,2021,"29,540 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$19,500"
Mercedes-Benz GLE,2020,"80,559 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$31,888"
Kia Optima,2013,"69,036 miles","Silver exterior, Beige interior","1 accident reported, 1 Owner","$12,995"
Subaru Outback,2021,"19,989 miles","Green exterior, Gray interior","No accidents reported, 2 Owners","$25,800"
Toyota Camry,2016,"117,456 miles","Silver exterior, Unknown interior","No accidents reported, 1 Owner","$12,995"
Cadillac Escalade,2011,"137,244 miles","White exterior, Beige interior","No accidents reported, 2 Owners","$15,500"
Kia Optima,2019,"20,602 miles","White exterior, Black interior","No accidents reported, 1 Owner","$19,999"
Cadillac XT5,2019,"45,232 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$20,094"
Jeep Wrangler,2018,"56,425 miles","White exterior, Black interior","No accidents reported, 1 Owner","$21,920"
Jeep Compass,2022,"13,977 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$23,959"
Mercedes-Benz C-Class,2023,"7,499 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$39,777"
Maserati Quattroporte,2019,"66,469 miles","Blue exterior, Brown interior","No accidents reported, 1 Owner","$28,421"
Ram 1500,2019,"49,845 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$31,998"
Ford Explorer,2021,"9,876 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$31,486"
Volkswagen Tiguan,2015,"71,416 miles","Tan exterior, Black interior","No accidents reported, 3 Owners","$15,998"
Ford F-150,2013,"111,450 miles","White exterior, Gray interior","No accidents reported, 2 Owners","$15,995"
Mercedes-Benz GLE,2021,"40,995 miles","White exterior, Black interior","No accidents reported, 1 Owner","$59,888"
Honda Odyssey,2019,"51,617 miles","Silver exterior, Brown interior","1 accident reported, 1 Owner","$28,998"
Subaru Outback,2020,"15,118 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$26,949"
Ford Explorer,2002,"158,000 miles","Black exterior, Unknown interior","No accidents reported, 3 Owners","$4,400"
BMW M5,2018,"36,532 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$53,999"
Honda Accord,2020,"22,455 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$25,381"
Jeep Wrangler,2021,"69,341 miles","White exterior, Black interior","No accidents reported, 1 Owner","$27,000"
Mercedes-Benz GLB,2023,"8,591 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$37,777"
BMW 4 Series,2021,"11,709 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$35,999"
Lexus NX,2021,"23,066 miles","White exterior, Red interior","No accidents reported, 2 Owners","$30,998"
Mercedes-Benz GLE,2021,"27,856 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$41,997"
Toyota Tacoma,2017,"76,815 miles","Black exterior, Gray interior","1 accident reported, 3 Owners","$27,500"
Audi A3,2023,"1,529 miles","Blue exterior, Black interior","No accidents reported, 1 Owner","$32,995"
Mercedes-Benz SL,2005,"82,528 miles","Silver exterior, Gray interior","2 accidents reported, 4 Owners","$12,995"
Volkswagen Jetta,2017,"114,015 miles","Black exterior, Black interior","2 accidents reported, 2 Owners","$11,495"
Lexus RX,2021,"38,887 miles","Silver exterior, Black interior","1 accident reported, 1 Owner","$39,991"
Hyundai Tucson,2021,"27,131 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$21,998"
Audi Q7,2019,"26,958 miles","Gray exterior, Beige interior","No accidents reported, 1 Owner","$29,998"
Honda CR-V,2022,"23,215 miles","White exterior, Black interior","No accidents reported, 1 Owner","$27,798"
Chevrolet Malibu,2022,"36,231 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$19,998"
Ford Transit Cargo Van,2017,"87,809 miles","White exterior, Gray interior","1 accident reported, 1 Owner","$20,999"
Toyota Tacoma,2021,"33,465 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$34,732"
Audi A7,2016,"42,396 miles","White exterior, Black interior","No accidents reported, 3 Owners","$28,998"
Honda Civic,2022,"8,100 miles","White exterior, Black interior","No accidents reported, 1 Owner","$24,991"
Mercedes-Benz GLA,2021,"21,352 miles","Black exterior, Unknown interior","No accidents reported, 3 Owners","$29,995"
Hyundai Elantra,2019,"13,314 miles","Black exterior, Beige interior","No accidents reported, 1 Owner","$16,555"
Toyota Prius Prime,2017,"48,119 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$23,222"
Nissan Frontier,2022,"12,232 miles","White exterior, Black interior","No accidents reported, 1 Owner","$26,988"
Hyundai Sonata,2016,"37,285 miles","Gray exterior, Gray interior","1 accident reported, 1 Owner","$15,987"
Subaru Crosstrek,2021,"20,653 miles","Red exterior, Black interior","3 accidents reported, 1 Owner","$25,299"
Chevrolet Equinox,2020,"26,267 miles","White exterior, Black interior","No accidents reported, 1 Owner","$23,777"
Toyota Corolla,2021,"14,875 miles","White exterior, Black interior","No accidents reported, 2 Owners","$21,998"
Nissan Versa,2022,"54,626 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$13,950"
Ford F-150,2020,"73,920 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$27,998"
Ford Bronco Sport,2022,"18,887 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$29,795"
Jeep Compass,2020,"40,839 miles","White exterior, Black interior","1 accident reported, 2 Owners","$16,819"
Jeep Wrangler,2016,"90,149 miles","Blue exterior, Black interior","No accidents reported, 4 Owners","$19,999"
Mazda Mazda3,2013,"113,781 miles","White exterior, Black interior","3 accidents reported, 1 Owner","$9,495"
Volvo XC90,2016,"126,749 miles","Black exterior, Brown interior","No accidents reported, 3 Owners","$19,998"
Jeep Grand Cherokee,2015,"112,461 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$13,995"
BMW 3 Series,2013,"56,891 miles","Gold exterior, Black interior","No accidents reported, 1 Owner","$17,998"
Volkswagen Golf GTI,2014,"100,630 miles","White exterior, Black interior","No accidents reported, 1 Owner","$10,798"
Honda Civic,2020,"11,140 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$20,998"
Mercedes-Benz GLC,2022,"12,483 miles","White exterior, Black interior","No accidents reported, 1 Owner","$35,136"
Toyota Corolla,2021,"37,728 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$20,650"
Chevrolet Suburban,2015,"225,260 miles","Black exterior, Black interior","3 accidents reported, 1 Owner","$12,999"
Chevrolet Cruze,2018,"70,218 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$13,200"
Jaguar XF,2013,"111,040 miles","Red exterior, Beige interior","1 accident reported, 3 Owners","$7,777"
Toyota Corolla,2021,"63,930 miles","White exterior, Black interior","No accidents reported, 1 Owner","$16,988"
Ford Thunderbird,2002,"1,357 miles","Yellow exterior, Yellow interior","No accidents reported, 1 Owner","$22,000"
Hyundai Sonata,2016,"88,567 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$15,998"
Volkswagen Atlas,2021,"30,560 miles","Silver exterior, Brown interior","2 accidents reported, 1 Owner","$33,500"
Ford Fusion,2014,"133,890 miles","Silver exterior, Black interior","No accidents reported, 3 Owners","$7,495"
Kia K5,2022,"41,939 miles","White exterior, Black interior","No accidents reported, 1 Owner","$22,500"
Ford Escape,2018,"74,038 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$15,998"
Audi Q5,2020,"15,503 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$29,999"
Toyota Corolla,2021,"62,665 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$17,000"
Volkswagen Tiguan,2013,"107,311 miles","White exterior, Black interior","No accidents reported, 3 Owners","$7,995"
Dodge Charger,2021,"53,353 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$19,999"
Mercedes-Benz CLA,2023,"9,735 miles","White exterior, Black interior","No accidents reported, 1 Owner","$37,815"
Volkswagen Jetta,2019,"33,822 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$15,444"
Ford Fusion,2020,"41,553 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$19,995"
Ford F-150,2020,"63,997 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$31,996"
Mercedes-Benz C-Class,2020,"20,556 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$30,998"
Toyota Corolla,2023,"25,273 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$19,699"
Hyundai Sonata,2015,"116,291 miles","Blue exterior, Gray interior","No accidents reported, 1 Owner","$9,998"
Toyota Corolla,2022,"34,565 miles","Silver exterior, Black interior","1 accident reported, 1 Owner","$19,293"
Toyota RAV4,2021,"65,810 miles","Blue exterior, Unknown interior","No accidents reported, 1 Owner","$22,981"
Chevrolet Equinox,2020,"30,317 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$17,800"
Ford Escape,2017,"76,901 miles","Black exterior, Black interior","2 accidents reported, 2 Owners","$13,499"
Subaru Crosstrek,2024,"1,535 miles","Blue exterior, Gray interior","No accidents reported, 1 Owner","$25,992"
Cadillac XT6,2021,"28,000 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$30,260"
Mercedes-Benz GLC,2022,"56,463 miles","White exterior, Black interior","No accidents reported, 1 Owner","$31,995"
Honda Odyssey,2022,"14,994 miles","Red exterior, Beige interior","No accidents reported, 1 Owner","$33,998"
Audi Q7,2023,"6,411 miles","White exterior, Black interior","No accidents reported, 1 Owner","$54,980"
Ford Escape,2020,"58,381 miles","White exterior, Gray interior","No accidents reported, 2 Owners","$19,998"
Mercedes-Benz GLE,2020,"80,559 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$31,888"
Mercedes-Benz GLB,2020,"64,761 miles","White exterior, Black interior","No accidents reported, 2 Owners","$26,444"
BMW X6,2021,"21,663 miles","Black exterior, Red interior","No accidents reported, 1 Owner","$55,498"
BMW 3 Series,2020,"61,362 miles","Black exterior, Beige interior","No accidents reported, 1 Owner","$22,200"
BMW X5,2019,"19,417 miles","White exterior, Black interior","No accidents reported, 1 Owner","$43,998"
Lexus IS,2021,"25,598 miles","White exterior, Red interior","No accidents reported, 1 Owner","$31,991"
Porsche 911,2002,"58,556 miles","Silver exterior, Black interior","No accidents reported, 3 Owners","$26,996"
Kia K5,2022,"35,452 miles","White exterior, Black interior","No accidents reported, 1 Owner","$23,000"
Lexus RX,2020,"28,999 miles","Black exterior, Unknown interior","1 accident reported, 2 Owners","$30,999"
Chevrolet Silverado 1500,2021,"41,606 miles","White exterior, Black interior","No accidents reported, 1 Owner","$36,485"
Jaguar F-PACE,2019,"47,051 miles","Black exterior, Unknown interior","No accidents reported, 1 Owner","$29,013"
Audi Q5,2020,"13,984 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$33,888"
Ford F-150,2022,"7,383 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$41,563"
FIAT 500,2014,"82,005 miles","Silver exterior, Black interior","1 accident reported, 4 Owners","$6,995"
Chevrolet Trailblazer,2021,"40,743 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$19,888"
Toyota Corolla,2021,"24,212 miles","White exterior, Black interior","No accidents reported, 1 Owner","$20,394"
Ford Transit Passenger Wagon,2018,"49,057 miles","White exterior, Black interior","No accidents reported, 2 Owners","$37,997"
Toyota 4Runner,2021,"14,683 miles","Black exterior, Brown interior","No accidents reported, 1 Owner","$44,998"
Toyota Corolla,2021,"74,064 miles","Red exterior, Black interior","1 accident reported, 1 Owner","$17,994"
Land Rover Range Rover,2011,"109,040 miles","Gray exterior, Black interior","No accidents reported, 3 Owners","$13,995"
Jaguar XF,2018,"38,894 miles","Gray exterior, Beige interior","No accidents reported, 3 Owners","$22,444"
Toyota C-HR,2021,"44,826 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$21,960"
Honda Odyssey,2018,"75,932 miles","Gray exterior, Gray interior","1 accident reported, 2 Owners","$25,998"
Subaru Crosstrek,2020,"43,420 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$24,499"
Honda CR-V,2018,"49,702 miles","Silver exterior, Gray interior","1 accident reported, 1 Owner","$24,998"
Ford Transit Passenger Wagon,2019,"73,340 miles","White exterior, Black interior","No accidents reported, 2 Owners","$36,997"
Acura MDX,2020,"42,221 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$30,998"
Mazda CX-9,2014,"102,507 miles","Silver exterior, Black interior","No accidents reported, 2 Owners","$10,498"
Mercedes-Benz C-Class,2023,"9,779 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$40,777"
Toyota Corolla,2021,"53,198 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$17,898"
Honda Accord,2022,"20,280 miles","White exterior, Unknown interior","No accidents reported, 1 Owner","$26,994"
Land Rover Range Rover Sport,2017,"82,088 miles","Black exterior, Unknown interior","1 accident reported, 2 Owners","$26,995"
Kia Forte,2021,"21,598 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$17,998"
Land Rover Range Rover Sport,2014,"74,390 miles","Silver exterior, Black interior","2 accidents reported, 3 Owners","$25,995"
Toyota Tacoma,2017,"97,372 miles","Gray exterior, Gray interior","1 accident reported, 2 Owners","$21,555"
BMW X3,2021,"25,621 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$29,498"
Ford Fusion,2019,"92,186 miles","White exterior, Black interior","No accidents reported, 2 Owners","$13,290"
Chevrolet Silverado 1500,2023,"2,756 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$53,888"
Porsche Macan,2023,"7,627 miles","White exterior, Black interior","No accidents reported, 1 Owner","$54,983"
Mercedes-Benz GLE,2021,"33,257 miles","Silver exterior, Beige interior","No accidents reported, 1 Owner","$39,591"
Nissan Frontier,2022,"21,865 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$28,988"
Toyota Corolla,2022,"47,087 miles","Black exterior, Unknown interior","No accidents reported, 2 Owners","$17,999"
Kia Optima,2015,"86,935 miles","White exterior, Beige interior","No accidents reported, 1 Owner","$15,998"
Chevrolet Tahoe,2017,"39,702 miles","White exterior, Black interior","No accidents reported, 1 Owner","$34,998"
Volkswagen Tiguan,2019,"73,055 miles","White exterior, Black interior","No accidents reported, 1 Owner","$18,998"
Mercedes-Benz C-Class,2021,"15,387 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$33,009"
Mercedes-Benz GLB,2021,"19,333 miles","Black exterior, Black interior","1 accident reported, 1 Owner","$32,094"
Honda Accord,2021,"43,043 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$25,981"
Honda Civic,2020,"27,496 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$19,498"
Nissan Altima,2020,"70,188 miles","Silver exterior, Black interior","No accidents reported, 2 Owners","$18,300"
BMW X5,2011,"105,424 miles","White exterior, Unknown interior","3 accidents reported, 2 Owners","$9,995"
Mercedes-Benz GLE,2021,"33,266 miles","White exterior, Black interior","No accidents reported, 1 Owner","$63,814"
Honda Civic,2019,"45,246 miles","White exterior, Black interior","No accidents reported, 2 Owners","$21,998"
BMW X5,2020,"27,051 miles","Gray exterior, Black interior","No accidents reported, 2 Owners","$37,498"
Toyota Prius,2015,"94,528 miles","Gray exterior, Gray interior","1 accident reported, 1 Owner","$16,998"
BMW 4 Series,2017,"58,597 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$21,998"
Ford Focus,2014,"74,255 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$8,999"
Jeep Gladiator,2021,"28,982 miles","White exterior, Black interior","No accidents reported, 1 Owner","$39,777"
Toyota Prius Prime,2021,"32,835 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$26,498"
Hyundai Sonata,2016,"37,285 miles","Gray exterior, Gray interior","1 accident reported, 1 Owner","$15,987"
Honda Civic,2020,"11,593 miles","Red exterior, Black interior","No accidents reported, 1 Owner","$20,698"
Jeep Compass,2021,"42,815 miles","White exterior, Black interior","No accidents reported, 1 Owner","$19,759"
Audi Q5,2022,"8,997 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$33,956"
Buick Cascada,2016,"54,227 miles","White exterior, Black interior","No accidents reported, 2 Owners","$15,998"
Subaru Ascent,2022,"12,435 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$34,449"
Toyota Highlander,2021,"34,955 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$33,994"
BMW X5,2021,"22,220 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$42,997"
BMW X6,2021,"21,663 miles","Black exterior, Red interior","No accidents reported, 1 Owner","$55,498"
Honda HR-V,2022,"11,770 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$22,222"
Ford Fusion,2019,"20,687 miles","White exterior, Black interior","No accidents reported, 1 Owner","$22,998"
Land Rover Range Rover,2009,"116,233 miles","Unknown exterior, Unknown interior","1 accident reported, 5 Owners","$10,995"
Mercedes-Benz C-Class,2018,"83,424 miles","White exterior, Black interior","1 accident reported, 2 Owners","$18,285"
Subaru Outback,2023,"8,474 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$34,600"
Porsche Cayenne,2020,"44,880 miles","Silver exterior, Black interior","No accidents reported, 3 Owners","$43,998"
Jeep Grand Cherokee WK,2021,"35,788 miles","White exterior, Black interior","No accidents reported, 1 Owner","$27,995"
Mercedes-Benz GLC,2021,"37,321 miles","White exterior, Black interior","1 accident reported, 1 Owner","$31,329"
Chevrolet Silverado 1500,2018,"54,592 miles","White exterior, Black interior","1 accident reported, 2 Owners","$33,998"
Honda CR-V,2018,"54,900 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$22,998"
Toyota Corolla,2020,"31,532 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$20,064"
Toyota Corolla,2021,"61,537 miles","Unknown exterior, Black interior","No accidents reported, 1 Owner","$17,988"
BMW 3 Series,2007,"97,688 miles","Silver exterior, Gray interior","1 accident reported, 2 Owners","$7,995"
Nissan Altima,2015,"46,189 miles","Black exterior, Beige interior","1 accident reported, 1 Owner","$15,998"
Acura RDX,2021,"10,748 miles","Silver exterior, Black interior","No accidents reported, 1 Owner","$32,000"
Land Rover Range Rover Sport,2014,"109,322 miles","White exterior, Unknown interior","No accidents reported, 4 Owners","$18,995"
Hyundai Elantra,2012,"135,320 miles","Red exterior, Black interior","No accidents reported, 3 Owners","$6,500"
Chevrolet Tahoe,2016,"96,825 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$26,987"
Land Rover Range Rover,2018,"35,993 miles","White exterior, Black interior","No accidents reported, 2 Owners","$47,999"
Chevrolet Traverse,2019,"31,111 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$27,999"
Toyota Tacoma,2019,"27,160 miles","Gray exterior, Black interior","2 accidents reported, 1 Owner","$33,998"
Toyota Corolla,2015,"72,921 miles","Black exterior, Black interior","No accidents reported, 2 Owners","$17,998"
Ford Transit Cargo Van,2021,"26,852 miles","White exterior, Black interior","No accidents reported, 1 Owner","$32,998"
Toyota Venza,2014,"113,327 miles","Silver exterior, Gray interior","2 accidents reported, 4 Owners","$14,599"
Honda Accord,2019,"57,549 miles","Silver exterior, Gray interior","No accidents reported, 1 Owner","$25,998"
Alfa Romeo Giulia,2022,55 miles,"Blue exterior, Black interior","No accidents reported, 1 Owner","$30,541"
Mercedes-Benz SL,2005,"82,528 miles","Silver exterior, Gray interior","2 accidents reported, 4 Owners","$12,995"
Ford Explorer,2022,"10,608 miles","White exterior, Black interior","No accidents reported, 1 Owner","$45,828"
BMW X3,2021,"38,424 miles","Blue exterior, Brown interior","1 accident reported, 1 Owner","$28,994"
Honda Pilot,2013,"105,642 miles","Black exterior, Unknown interior","No accidents reported, 2 Owners","$15,998"
Acura ILX,2020,"29,094 miles","Gray exterior, Black interior","1 accident reported, 1 Owner","$20,998"
Toyota Sienna,2020,"45,457 miles","White exterior, Gray interior","No accidents reported, 1 Owner","$28,263"
Land Rover Range Rover Velar,2019,"26,989 miles","White exterior, Unknown interior","No accidents reported, 1 Owner","$44,395"
Acura MDX,2013,"91,230 miles","Blue exterior, Gray interior","1 accident reported, 1 Owner","$16,998"
Nissan Altima,2021,"61,705 miles","Black exterior, Black interior","No accidents reported, 1 Owner","$17,888"
Honda Accord,2022,"31,454 miles","White exterior, Black interior","No accidents reported, 1 Owner","$24,987"
Subaru Forester,2021,"32,390 miles","Blue exterior, Gray interior","1 accident reported, 1 Owner","$23,749"
Jeep Grand Cherokee,2015,"29,063 miles","Gray exterior, Black interior","No accidents reported, 1 Owner","$23,998"
Nissan Altima,2015,"93,969 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$12,998"
Nissan Rogue Sport,2020,"74,943 miles","Gray exterior, Black interior","1 accident reported, 3 Owners","$15,995"
Ford Escape,2016,"111,113 miles","Gray exterior, Gray interior","No accidents reported, 2 Owners","$9,995"
Toyota Tundra,2021,"17,070 miles","Gray exterior, Gray interior","1 accident reported, 1 Owner","$45,998"
Jeep Gladiator,2020,"28,769 miles","White exterior, Black interior","No accidents reported, 2 Owners","$39,998"
Land Rover Range Rover Sport,2020,"48,726 miles","Black exterior, Unknown interior","No accidents reported, 2 Owners","$44,603"
Toyota Prius,2015,"78,007 miles","Gray exterior, Gray interior","1 accident reported, 2 Owners","$16,995"
Mercedes-Benz GLC,2022,"11,301 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$35,998"
Dodge Charger,2019,"71,018 miles","Black exterior, Black interior","No accidents reported, 3 Owners","$20,959"
Buick Cascada,2016,"68,660 miles","White exterior, Beige interior","1 accident reported, 2 Owners","$17,998"
Lexus RX,2021,"19,205 miles","Black exterior, Unknown interior","2 accidents reported, 1 Owner","$38,998"
Porsche Macan,2020,"39,689 miles","Blue exterior, Black interior","1 accident reported, 1 Owner","$36,998"
Toyota Prius,2012,"187,405 miles","White exterior, Unknown interior","No accidents reported, 3 Owners","$10,995"
GMC Terrain,2021,"21,991 miles","White exterior, Black interior","No accidents reported, 1 Owner","$22,498"
Ford Escape,2017,"66,095 miles","White exterior, Black interior","No accidents reported, 2 Owners","$13,009"
Ford Explorer,2016,"91,885 miles","Black exterior, Black interior","No accidents reported, 3 Owners","$15,995"
Toyota Corolla,2018,"116,630 miles","White exterior, Black interior","1 accident reported, 2 Owners","$12,999"
Ford Explorer,2018,"54,327 miles","Black exterior, Black interior","1 accident reported, 2 Owners","$20,485"
Ford Escape,2022,"36,066 miles","Gray exterior, Gray interior","No accidents reported, 1 Owner","$20,799"
Toyota Corolla,2021,"11,703 miles","Black exterior, Gray interior","No accidents reported, 1 Owner","$18,782"
BMW 5 Series,2010,"114,550 miles","White exterior, Black interior","No accidents reported, 3 Owners","$7,995"
